Quel est le titre du film qui raconte l'histoire d'un bateau percutant un iceberg en avril 1912?;Titanic;Boat Trip;Lifeboat;Iceberg
Quel monstre les cinéastes de Independence Day ont-ils fait ressuscité?;Godzilla;Dracula;Hulk;Freddy Krueger
Lequel de ces acteurs n'apparait pas dans "Le Parrain"?;Paul Sorvino;Al Pacino;Richard Conte;James Caan
Lequel de ces film a remporté un Oscar en 1956?;Le Tour du monde en quatre-vingts jours;Le Roi et moi;Géant;La Loi du Seigneur
Sur quel livre le film "Cabaret" est il basé?;Goodbye to Berlin;Goodbye to All That;Goodbye Paris;Goodbye to Love
Quel est le nom du personnage joué par Samual L Jackson dans Star Wars Episode III?;Mace Windu;Bail Organa;Count Dooku;General Grievous
Difficile
Comment s'appelle le courtier en Bourse américain qui a inspiré le film "Le Loup de Wall Street"?;Jordan Belfort;Jesse Livermore;Paul Tudor Jones;Nick Leeson
Qui a réalisé le film "Alien"?;Ridley Scott;Stanley Kubrick;Steven Spielberg;David Lynch
Qui a joué Bébé dans le film "Dirty Dancing"?;Jennifer Grey;Alyssa Milano;Kaley Cuoco;Jennifer Lawrence
Dans le film "Shrek", quel est le nom de la femme de Shrek?;Fiona;Laura;Sonia;Sara
De quel film Disney la chanson "L'Histoire de la vie" vient-elle?;Le Roi Lion;Aladdin;La Belle et la Bete;La Petite Sirène
De quel film provient cette citation: "You're going out a youngster but you've got to come back a star"?;Apollo 13;Interstellar;Gravity;Armageddon
De quel film provient cette citation: "We're bigger than US Steel"?;Le Parrain;Gladiateur;Rocky;Sixième Sens
De quel film provient cette citation: "If I had one more night to live, I would want to spend it with you"?;Pearl Harbour;Le Cercle des poètes disparus;Un homme d'exception;Love Story
Quel film a rendu Will Smith célèbre: Sept ______________?;Vies;Légendes;Pièces;Blacks
Quelle actrice a joué Winifred en 1993 dans le film "Hocus Pocus"?;Bette Midler;Kathy Najimy;Sarah Jessica Parker;Vinessa Shaw
Quelle actrice a joué le rôle de Sidney dans le film "Scream" en 1996?;Neve Campbell;Courteney Cox;Rose McGowan;Drew Barrymore
Quelle actrice célèbre a joué le rôle de Holly dans le film "Diamants sur canapé" et est morte en 1993?;Audrey Hepburn;Patricia Neal;Michelle Pfeiffer;Meryl Streep
Dans quel film Jim Carey a le rôle principal dans un film racontant la vie d'un homme star d'une télé-réalité à son insu?;The Truman Show;The Mask;Menteur, menteur;The Majestic
Quel film sorti en 1983 a rendu célèbre Melinda Dillon, Darren McGavin and Peter Billingsley?;A Christmas Story;La Castagne;Le Contrat;Death Valley
Quel titre de film James Bond fut inspiré de la maison de Ian Fleming en Jamaïque?;Goldeneye;Cold;SeaFire;Death is Forever
Quel est le nom de l'acteur qui a joué le rôle de Ron Weasley dans les films "Harry Potter"?;Rupert Grint;Daniel Radcliffe;Matthew Lewis;Tom Felton
Quel est le titre du film qui a mis en lumière Elvis Presley qui jouait le role d'un boxeur?;Un direct au coeur;Le Shérif de ces dames;Elvis on Tour;Elvis: That's the Way It Is
Quel est le nom du chien de Dorothy dans "le magicien d'Oz"?;Toto;Kabumpo;Kalidah;Rak
Qui a rendu la phrase 'I'll be back' célèbre?;Arnold Schwarzenegger;Brad Pitt;Marlon Brando;Robert De Niro
Quel film anglais fut réalisé en 1996 par Danny Boyle et avait pour vedette Ewan McGregor?;Trainspotting;Oliver Twist;Petits meurtres entre amis;Moulin Rouge!
